GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-underweight-%28-weight-for-age--2-sd%29-%28-%29,2011,2011,2011,SEAR,South-East Asia,NPL,Nepal,EDUCATIONLEVEL,EDUCATIONLEVEL_EDUC_HIGHER,Higher education,8.3,8.3 [4.2-15.6],4.2,15.6
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-wasted-br-%28-weight-for-height--2-sd%29,2016,2016,2016,SEAR,South-East Asia,NPL,Nepal,AGEGROUP,AGEGROUP_MONTHS6-59,6 to 59 months,9.1,9.1 [7.7-10.7],7.7,10.7
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-severe-wasting-br-%28-weight-for-height--3-sd%29,2014,2014,2014,SEAR,South-East Asia,NPL,Nepal,EDUCATIONLEVEL,EDUCATIONLEVEL_EDUC_NONE_PRIMARY,None and primary education,3.6,3.6 [2.8-4.7],2.8,4.7
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-severe-wasting-br-%28-weight-for-height--3-sd%29,2001,2001,2001,SEAR,South-East Asia,NPL,Nepal,SEX,SEX_MLE,Male,3.7,3.7 [3.0-4.6],3.0,4.6
NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-stunted-%28-height-for-age--2-sd%29,2014,2014,2014,SEAR,South-East Asia,NPL,Nepal,EDUCATIONLEVEL,EDUCATIONLEVEL_TOTL,Total,37.1,37.1 [34.8-39.5],34.8,39.5
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-severe-wasting-br-%28-weight-for-height--3-sd%29,2001,2001,2001,SEAR,South-East Asia,NPL,Nepal,SEX,SEX_FMLE,Female,0.9,0.9 [0.3-3.2],0.3,3.2
LBW_NUMBER,Low birth weight number (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/low-birth-weight-%28in-thousands%29,2010,2010,2010,SEAR,South-East Asia,NPL,Nepal,,,,131.1,131.1 [120.2-143.4],120.2,143.4
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-severe-wasting-br-%28-weight-for-height--3-sd%29,2016,2016,2016,SEAR,South-East Asia,NPL,Nepal,WEALTHQUINTILE,WEALTHQUINTILE_TOTL,Total,1.8,1.8 [1.4-2.5],1.4,2.5
NUT_BF_EBF,Exclusive breastfeeding under six months,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/exclusive-breastfeeding-under-six-months,2014,2014,2014,SEAR,South-East Asia,NPL,Nepal,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_TOP60,Wealth - Top 60%,55.3,55.3 [46.1-64.2],46.1,64.2
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-severe-wasting-br-%28-weight-for-height--3-sd%29,2016,2016,2016,SEAR,South-East Asia,NPL,Nepal,SEX,SEX_FMLE,Female,6.5,6.5 [3.1-13.2],3.1,13.2
NUT_CF_EFF,Egg and/or Flesh Food Consumption 6-23 months,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/egg-and-or-flesh-food-consumption-6-23-months,2006,2006,2006,SEAR,South-East Asia,NPL,Nepal,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_TOP40,Wealth - Top 40%,25.4,25.4 [20.3-31.2],20.3,31.2
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-wasted-br-%28-weight-for-height--2-sd%29,2006,2006,2006,SEAR,South-East Asia,NPL,Nepal,AGEGROUP,AGEGROUP_MONTHS36-47,36 to 47 months,9.5,9.5 [7.5-12.0],7.5,12.0
NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-stunted-%28-height-for-age--2-sd%29,2001,2001,2001,SEAR,South-East Asia,NPL,Nepal,SEX,SEX_MLE,Male,67.7,67.7 [61.1-73.6],61.1,73.6
NUT_CF_MDD,Minimum dietary diversity 6-23 months,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/minimum-dietary-diversity-6-23-months,2016,2016,2016,SEAR,South-East Asia,NPL,Nepal,EDUCATIONLEVEL,EDUCATIONLEVEL_EDUC_NONE_PRIMARY,None and primary education,34.3,34.3 [30.3-38.6],30.3,38.6
NUT_BF_EVBF,Ever breastfed,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ever-breastfed,1996,1996,1996,SEAR,South-East Asia,NPL,Nepal,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,96.4,96.4,,
NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-stunted-%28-height-for-age--2-sd%29,2011,2011,2011,SEAR,South-East Asia,NPL,Nepal,SEX,SEX_MLE,Male,41.6,41.6 [32.3-51.5],32.3,51.5
